"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"1097","GIRI D/S SATAUN","HIMACHALPRADESH","RIVERWATER",12,7.2,228,1,0.1,7,15,2015,100,100,40,100,100,80,17,17,13,3.44,22,17.6,90.04
"1098","PABBAR AT U/S DHAMBARI","HIMACHALPRADESH","RIVERWATER",4,6.2,43,0.1,0,1.8,1.8,2015,100,80,100,100,100,100,17,13.6,13,8.6,22,22,96.2
"1099","PABBAR AT U/S ROHRU","HIMACHALPRADESH","RIVERWATER",5,6.7,33,0.1,0,2,2,2015,100,100,100,100,100,100,17,17,13,8.6,22,22,99.6
"1100","PABBAR AT D/S SWARAKUDDU","HIMACHALPRADESH","RIVERWATER",10,6.8,40,0.1,0,2,2,2015,100,100,100,100,100,100,17,17,13,8.6,22,22,99.6
"1101","RIVER HINDON AT SARDHANA BUDHANA ROAD, VILLAGE BAPARSI,
MEERUT","UTTARPRADESH","RIVERWATER",20,7.3,20,48,0,18134.3000000001,50000,2015,80,100,100,60,100,0,13.6,17,7.8,8.6,22,0,69
"1102","TONS AT CHAKGHAT, M.P.","MADHYAPRADESH","RIVERWATER",16,7.5,422,2.2,1.2,70,150,2015,80,100,0,100,100,60,13.6,17,13,0,22,13.2,78.8
"1103","BETWA NEAR ROAD BRIDGE, BHOJPUR","MADHYAPRADESH","RIVERWATER",25,7.6,475,1.2,0.3,2,90,2015,60,100,0,100,100,60,10.2,17,13,0,22,13.2,75.4
"1104","GOVIND SAGAR, U.P","UTTARPRADESH","RIVERWATER",18,7.9,191,2.9,0,1700,50000,2015,80,100,60,100,100,0,13.6,17,13,5.16,22,0,70.76
"1105","BETWA BEFORE CONF. YAMUNA AT HAMIRPUR, U.P.","UTTARPRADESH","RIVERWATER",18,7.8,186,3.1,0,2500,50000,2015,80,100,60,80,100,0,13.6,17,10.4,5.16,22,0,68.16
"1106","RIVER CHAMBAL ENTERING IN RAJASTHAN AT GAHI SAGAR DAM, KOTA, RAJASTHAN","RAJASTHAN","RIVERWATER",21,7.8,250,0.6,0.1,3,4,2015,60,100,40,100,100,100,10.2,17,13,3.44,22,22,87.64
"1107","CHAMBAL AT KOTA U/S (INTAKE PT. NEAR BARRAGE), RAJASTHAN","RAJASTHAN","RIVERWATER",17.5,7.5,280,0.7,0.1,3,3,2015,80,100,40,100,100,100,13.6,17,13,3.44,22,22,91.04
"1108","CHAMBAL AT KOTA D/S (2 KM. FROM CITY), RAJASTHAN","RAJASTHAN","RIVERWATER",18.1,8,67,1.7,0.4,7,93,2015,80,100,100,100,100,60,13.6,17,13,8.6,22,13.2,87.4
"1109","CHAMBAL AT RAMESHWARGHAT NR. SAWAIMADHOPUR, RAJASTHAN","RAJASTHAN","RIVERWATER",9,7.7,240,0.8,0.1,7,20,2015,100,100,40,100,100,80,17,17,13,3.44,22,17.6,90.04
"1110","RIVER BIHAR AT DIST. REWA, (MP)","MADHYAPRADESH","RIVERWATER",20,7.2,528,2,0,21,280,2015,80,100,0,100,100,60,13.6,17,13,0,22,13.2,78.8
"1111","RIVER PARVATI BEFORE MEETING RIVER CHAMBAL AT KHATOLI, KOTA, RAJASTHAN","RAJASTHAN","RIVERWATER",16.2,8,210,0.8,0.1,3,4,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1112","KHAN AT KABIT KHEDI (NEAR IORE) M.P.","MADHYAPRADESH","RIVERWATER",18,6.8,1163,34,6.3,26,1600,2015,80,100,0,60,100,40,13.6,17,7.8,0,22,8.8,69.2
"1113","RIVER KALI SINDH AT ANICUT OF M/S CFCL GADEPAN, KOTA, RAJASTHAN","RAJASTHAN","RIVERWATER",16,7.6,200,1,0.4,3,4,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1114","RIVER KALI SINDH AT BAROD ROAD BRIDGE, KOTA, RAJASTHAN","RAJASTHAN","RIVERWATER",15.8,7.9,200,0.8,0.2,3,4,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1115","RIVER BICHIA, BRIDGE GOVIGARH ROAD","MADHYAPRADESH","RIVERWATER",15.6,7.2,526,3.1,1.9,50,350,2015,80,100,0,80,100,60,13.6,17,10.4,0,22,13.2,76.2
"1116","DHANARI DAM, NEAR SWAROOPGANJ, SIROHI, RAJASTHAN","RAJASTHAN","RIVERWATER",19.5,7.5,170,0.9,0.1,3,4,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1117","BISULPUR DAM, TONK, RAJASTHAN","RAJASTHAN","RIVERWATER",21,7.6,300,0.8,0.2,3,4,2015,60,100,40,100,100,100,10.2,17,13,3.44,22,22,87.64
"1118","NEAR NEWTA DAM, JAIPUR, RAJASTHAN","RAJASTHAN","RIVERWATER",17,7.9,1490,7.7,0.4,7,150,2015,80,100,0,60,100,60,13.6,17,7.8,0,22,13.2,73.6
"1119","UPSTREAM OF CHHAPI DAM, JHALAWAR, RAJASTHAN","RAJASTHAN","RIVERWATER",16.2,7.9,200,0.8,0.1,3,3,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1120","UPSTREAM OF BHIM SAGAR DAM, JHALAWAR, RAJASTHAN","RAJASTHAN","RIVERWATER",16,7.7,190,0.7,0.1,3,3,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1121","DAMODAR AT DISHERGARH VILL.(NR.BIHAR- WEST BENGAL BORDER),WEST BENGAL","WEST BENGAL","RIVERWATER",19,7.2,194,1,0.3,800,1300,2015,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56
"1122","DAMODAR AT D/S OF IISCO AFTER 3RD OUTFALL AT DHENNA VILLAGE, WEST BENGAL","WEST BENGAL","RIVERWATER",22,7.6,199,1.5,0.2,400,800,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1123","DAMODAR AT NARAINPUR AFTER CONFL. OF NUNIA NALLAH, WEST BENGAL","WEST BENGAL","RIVERWATER",22,7.6,243,1.4,0.3,400,1400,2015,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44
"1124","DAMODAR NEAR MUJHER MANA VILLAGE AFTER CONF. OF TAMLA NALLAH, WEST BENGAL","WEST BENGAL","RIVERWATER",23,7.2,395,1.7,0.2,1100,2600,2015,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71
"1125","DAMODAR DURGACHAK, NEAR PATHIKALI, WEST BENGAL","WEST BENGAL","RIVERWATER",23,7.5,3860,1.1,0.1,1700,50000,2015,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2
"1126","WATER INTAKE POINT FOR BURDWAN TOWN","WEST BENGAL","RIVERWATER",20,7.5,303,1.4,0.3,400,800,2015,80,100,0,100,100,40,13.6,17,13,0,22,8.8,74.4
"1127","BARAKAR AT ASANSOL (WATER INTAKE POINT), WEST BENGAL","WEST BENGAL","RIVERWATER",22,7.6,210,1.1,0.3,800,1300,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1128","D/S OF RUPNARAYAN AT KOLAGHAT, NEAR KOLAGHAT RAIL BRIDGE NO.3","WEST BENGAL","RIVERWATER",21,7.8,265,0.8,0.2,800,1700,2015,60,100,40,100,100,40,10.2,17,13,3.44,22,8.8,74.44
"1129","RUPNARAYAN BEFORE CONFL. TO RIVER GANGA NEAR GEONKHALI, WEST BENGAL","WEST BENGAL","RIVERWATER",21,7.2,495,0.4,0.1,1700,2600,2015,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71
"1130","WATER INTAKE POINT FOR BANKURA TOWN ON RIVER DWARAKESHWAR","WEST BENGAL","RIVERWATER",23.5,7.5,229,1,0.1,200,400,2015,60,100,40,100,100,60,10.2,17,13,3.44,22,13.2,78.84
"1131","U/S OF TARAPITH ON RIVER DWARKA AT SADHAK BAMDEB GHAT","WEST BENGAL","RIVERWATER",26,7.4,229,3.7,0.1,2200,2200,2015,40,100,40,80,100,40,6.8,17,10.4,3.44,22,8.8,68.44
"1132","D/S OF SILABATI AT GHATAL,","WEST BENGAL","RIVERWATER",20,7.5,121,0.5,0.1,1300,2200,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1133","JALANGI, D/S OF KRISHNA NAGAR","WEST BENGAL","RIVERWATER",22,7.7,366,1.7,0.2,18134.3000000001,50000,2015,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2
"1134","CHURNI D/S OF SANTIPUR TOWN, WEST BENGAL","WEST BENGAL","RIVERWATER",23,7.5,475,2.3,0.2,18134.3000000001,50000,2015,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2
"1135","CHURNI, MAJHADIA","WEST BENGAL","RIVERWATER",23,7.8,488,2.8,0.1,18134.3000000001,50000,2015,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2
"1136","MATHA BHANGA, GOBIAPUR","WEST BENGAL","RIVERWATER",23,7.6,516,2.8,0,18134.3000000001,50000,2015,60,100,0,100,100,0,10.2,17,13,0,22,0,62.2
"1137","WATER INTAKE POINT FOR SURI TOWN ON RIVER MAYURAKSHI","WEST BENGAL","RIVERWATER",22,7.3,126,1.3,0.2,400,400,2015,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28
"1138","D/S OF KANSI AT MIDNAPORE, NEAR NEW HANUMAN MAIR, GAHIGHAT","WEST BENGAL","RIVERWATER",23,7.7,161,1,0,1700,50000,2015,60,100,60,100,100,0,10.2,17,13,5.16,22,0,67.36
"1139","MAHANANDA AT SILIGURI","WEST BENGAL","RIVERWATER",18,6.9,63,1.5,0,1300,3000,2015,80,100,100,100,100,40,13.6,17,13,8.6,22,8.8,83
"1140","MAHANANDA D/S, RAMGHAT","WEST BENGAL","RIVERWATER",20,7,115,3,0,18134.3000000001,50000,2015,80,100,80,100,100,0,13.6,17,13,6.88,22,0,72.48
"1141","MAHANANDA AT THAKURGANJ, KISHANGANJ ROAD BRIDGE, BIHAR","BIHAR","RIVERWATER",17,7.4,73,1.6,0,500,1100,2015,80,100,100,100,100,40,13.6,17,13,8.6,22,8.8,83
"1142","U/S OF VINDYADHARI RIVER AT HAROA BRIDGE","WEST BENGAL","RIVERWATER",20,7.6,831,1.4,0.2,18134.3000000001,50000,2015,80,100,0,100,100,0,13.6,17,13,0,22,0,65.6
"1143","D/S OF VINDYADHARI RIVER AT MALANCHA BURNING GHAT","WEST BENGAL","RIVERWATER",20,7.5,1633,1.2,0.1,18134.3000000001,50000,2015,80,100,0,100,100,0,13.6,17,13,0,22,0,65.6
"1144","BRAHAMPUTRA AT KHERGHAT (AFTER CONFL. WITH DIBANG & DIHANG),ASSAM","ASSAM","RIVERWATER",20,7.4,81,0.6,0.1,360,360,2015,80,100,80,100,100,60,13.6,17,13,6.88,22,13.2,85.68
"1145","BRAHAMPUTRA AT DIBRUGARH, ASSAM","ASSAM","RIVERWATER",18,6.8,86,0.5,0.1,0,0,2015,80,100,80,100,100,100,13.6,17,13,6.88,22,22,94.48
"1146","BRAHAMPUTRA AT NIMATIGHAT, ASSAM","ASSAM","RIVERWATER",16,7,68,0.6,0.1,730,360,2015,80,100,100,100,100,60,13.6,17,13,8.6,22,13.2,87.4
"1147","BRAHMPUTRA RIVER AT DHENUKHAPAHAR, ASSAM","ASSAM","RIVERWATER",16,7.1,71,0.4,0.1,360,2800,2015,80,100,100,100,100,40,13.6,17,13,8.6,22,8.8,83
"1148","BRAHAMPUTRA AT PAU, ASSAM","ASSAM","RIVERWATER",16,7,101,0.6,0.1,730,2300,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1149","BRAHAMPUTRA AT JOGIJHOGA NEAR BRIDGE, ASSAM","ASSAM","RIVERWATER",20,7.4,129,0.7,0.1,0,0,2015,80,100,80,100,100,100,13.6,17,13,6.88,22,22,94.48
"1150","BRAHMPUTRA RIVER NEAR WATER INTAKE POINT AT KACHARIGHAT, PANBAZAR, GUWAHATI, ASSAM","ASSAM","RIVERWATER",18,7.2,111,1.1,0.1,1400,1401,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1151","BRAHMAPUTRA RIVER AT CHARAPUR, GUWAHATI","ASSAM","RIVERWATER",18,6.4,76,0.8,0.3,360,361,2015,80,80,80,100,100,60,13.6,13.6,13,6.88,22,13.2,82.28
"1152","BRAHMPUTRA RIVER AT SUALKUCHI, DIST. KAMRUP, ASSAM","ASSAM","RIVERWATER",20,7.1,103,1,0.1,1100,2900,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1153","BRAHMAPUTRA RIVER AT DHUBRI","ASSAM","RIVERWATER",26,7.3,107,1,0.1,910,2300,2015,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48
"1154","SUBANSIRI AT GEREKAMUKH, ASSAM, (BEFORE CONFL. WITH BRAH.),ASSAM","ASSAM","RIVERWATER",16,6.6,71,1,0.1,730,910,2015,80,100,100,100,100,40,13.6,17,13,8.6,22,8.8,83
"1155","PAGLDIA RIVER NEAR NALBARI TOWN, DIST. NALBARI, ASSAM","ASSAM","RIVERWATER",24,7.6,147,0.7,0.2,360,1100,2015,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88
"1156","DIGBOI RIVER AT LAKHIPATHE, RESERVE FOREST, DIGBOI, ASSAM","ASSAM","RIVERWATER",21,7.1,172,3.2,3.5,1100,2300,2015,60,100,60,80,100,40,10.2,17,10.4,5.16,22,8.8,73.56
"1157","JAI BHARALI RIVER NEAR BISWANATH CHARALI, SONITPUR","ASSAM","RIVERWATER",23,7.2,52,0.4,0.2,0,1500,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1158","KALONG RIVER AT U/S OF ANAARAM DEKIAL PHUKAN BRIDGE, NAGAON","ASSAM","RIVERWATER",21,6.9,97,0.7,0.2,2100,50000,2015,60,100,80,100,100,0,10.2,17,13,6.88,22,0,69.08
"1159","KOLONG RIVER AT MARIGAON","ASSAM","RIVERWATER",25,6.7,50,0.7,0.1,360,2100,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1160","MANAS RIVER AT NH-31 CROSSING, BARPETA, DISTRICT","ASSAM","RIVERWATER",23,7.9,331,0.6,0.1,360,730,2015,60,100,0,100,100,40,10.2,17,13,0,22,8.8,71
"1161","DISANG AT GUAMGHAT, ASSAM","ASSAM","RIVERWATER",19,6.4,68,0.9,0.3,0,0,2015,80,80,100,100,100,100,13.6,13.6,13,8.6,22,22,92.8
"1162","JHANJI AT N.H. CROSSING JORHAT, ASSAM","ASSAM","RIVERWATER",2.9,6.7,94,0.5,0.1,360,2100,2015,100,100,80,100,100,40,17,17,13,6.88,22,8.8,84.68
"1163","BHOGDOI RIVER AT JORHAT ,ASSAM","ASSAM","RIVERWATER",17,6.9,114,0.9,0.1,360,3501,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1164","MORA BHARALI  AT TEZPUR, ASSAM","ASSAM","RIVERWATER",27,6.6,87,1.2,0.1,0,730,2015,40,100,80,100,100,40,6.8,17,13,6.88,22,8.8,74.48
"1165","BORAK AT PANCHAGRAM , ASSAM","ASSAM","RIVERWATER",23,6.9,59,1.1,0.3,730,1500,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1166","BHARALU RIVER AT GUWAHATI","ASSAM","RIVERWATER",18,6.4,550,24,0.5,2000,3500,2015,80,80,0,60,100,40,13.6,13.6,7.8,0,22,8.8,65.8
"1167","DEEPAR BILL, ASSAM","ASSAM","RIVERWATER",18,6.6,162,2,0.7,360,2000,2015,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56
"1168","U/S OF KATHAKAL AT MATIJURI, DIST. HAILAKAI, ASSAM","ASSAM","RIVERWATER",22,6.9,66,0.6,0.2,300,50000,2015,60,100,100,100,100,0,10.2,17,13,8.6,22,0,70.8
"1169","TEESTA AT SILIGURI","WEST BENGAL","RIVERWATER",13,7.3,64,1,0,800,3000,2015,100,100,100,100,100,40,17,17,13,8.6,22,8.8,86.4
"1170","KULI RIVER AT KULI/ SAPAKHOWA, SADIA.","ASSAM","RIVERWATER",18,7.5,225,0.8,0.1,0,0,2015,80,100,60,100,100,100,13.6,17,13,5.16,22,22,92.76
"1171","DIKHOW RIVER AT DIKHOW BRIDGE SIVASAGAR","ASSAM","RIVERWATER",20,6.7,102,1.3,0.2,360,2000,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1172","KOHORA RIVER AT N.H. CROSSING, KOHORA","ASSAM","RIVERWATER",20,6.9,20,1.3,0.1,300,50000,2015,80,100,100,100,100,0,13.6,17,13,8.6,22,0,74.2
"1173","BOGINADI NEAR BRIDGE NH-52, LAKHIMPUR","ASSAM","RIVERWATER",22,6.9,67,0.8,0.1,360,1500,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1174","RANGA NADI D/S OF HYDEL PROJECT","ASSAM","RIVERWATER",23,7.3,89,1.2,0.1,730,1500,2015,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88
"1175","KAPILI RIVER AT DHARMTUL BRIDGE, NH- 31, NAGAON","ASSAM","RIVERWATER",21,6.2,80,0.7,0.1,0,360,2015,60,80,80,100,100,60,10.2,13.6,13,6.88,22,13.2,78.88
"1176","BEKI RIVER AT NH-37 CROSSING AT BARPETA ROAD","ASSAM","RIVERWATER",22,7.5,97,0.8,0.1,360,2800,2015,60,100,80,100,100,40,10.2,17,13,6.88,22,8.8,77.88
"1177","SANKOSH RIVER, DHUBRI","ASSAM","RIVERWATER",26,6.9,60,0.9,0.1,360,360,2015,40,100,100,100,100,60,6.8,17,13,8.6,22,13.2,80.6
"1178","BARAK RIVER AT D/S OF SILCHAR","ASSAM","RIVERWATER",21,6.6,51,0.6,0.1,730,2000,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1179","SONAI RIVER AT SONAI","ASSAM","RIVERWATER",21,7.1,48,0.9,0.5,360,730,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1180","KUSHIARA RIVER AT KARIMGANJ","ASSAM","RIVERWATER",22,6.6,54,0.6,0.3,360,2300,2015,60,100,100,100,100,40,10.2,17,13,8.6,22,8.8,79.6
"1181","KAROLA, D/S OF JALPAIGURI, NEAR MIN BHAWAN","WEST BENGAL","RIVERWATER",20,7,90,1,0.1,1300,50000,2015,80,100,80,100,100,0,13.6,17,13,6.88,22,0,72.48
"1182","PANCHNAI RIVER AT NH-52 CROSSING, ORANG","ASSAM","RIVERWATER",16,7.2,80,0.8,0.1,0,910,2015,80,100,80,100,100,40,13.6,17,13,6.88,22,8.8,81.28
"1183","MAHI (D/S) CONF WITH R. CHAP (UER SAGWARA-SARHI RD. BDG.), RAJASTHAN","RAJASTHAN","RIVERWATER",21,8,380,0.9,0.1,3,3,2015,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"1184","MAHI AT MUJPUR","GUJARAT","RIVERWATER",23,7.7,489,2,0.1,14,49,2015,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"1185","MAHI AT BADNAWAR, M.P.","MADHYAPRADESH","RIVERWATER",21,7.2,253,1,0.3,2,40,2015,60,100,40,100,100,80,10.2,17,13,3.44,22,17.6,83.24
"1186","MAHI NEAR RAJASTHAN BORDER AT KADANA DAM, GUJARAT","GUJARAT","RIVERWATER",27,7.9,234,2,0,1.8,11,2015,40,100,40,100,100,80,6.8,17,13,3.44,22,17.6,79.84
"1187","MAHI AFTER CONF. WITH ANAS AT PARDI (BANASWADA), GUJARAT.","GUJARAT","RIVERWATER",28,7.8,260,0.9,0,21,63,2015,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"1188","PANAM AT LUNAWADA, GUJARAT","GUJARAT","RIVERWATER",26,7.8,265,2,0,12,46,2015,40,100,40,100,100,80,6.8,17,13,3.44,22,17.6,79.84
"1189","ANAS AT DAHOD, (KUSHALGARH), DIST. PANCHMAHAL, GUJARAT","GUJARAT","RIVERWATER",28,7.8,268,1.7,0,13,58,2015,40,100,40,100,100,60,6.8,17,13,3.44,22,13.2,75.44
"1190","NARMADA AT MALA NEAR ROAD BDG. M.P.","MADHYAPRADESH","RIVERWATER",22,7.1,288,1.2,0.1,0,12,2015,60,100,40,100,100,80,10.2,17,13,3.44,22,17.6,83.24
"1191","NARMADA AT NARSINGHPUR M.P.","MADHYAPRADESH","RIVERWATER",22,7.2,360,1.3,0.3,6,7,2015,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"1192","NARMADA AT MANDLESHWAR M.P.","MADHYAPRADESH","RIVERWATER",18,7.8,209,0.8,0.4,2,30,2015,80,100,60,100,100,80,13.6,17,13,5.16,22,17.6,88.36
"1193","NARMADA AT BADWANI, M.P.","MADHYAPRADESH","RIVERWATER",19,7.2,280,0.8,0.2,2,34,2015,80,100,40,100,100,80,13.6,17,13,3.44,22,17.6,86.64
"1194","NARMADA AT D S OF OMKARESHWAR M.P.","MADHYAPRADESH","RIVERWATER",20,7,205,0.9,0.2,2,40,2015,80,100,60,100,100,80,13.6,17,13,5.16,22,17.6,88.36
"1195","NARMADA AT MAHESHWAR, M. P.","MADHYAPRADESH","RIVERWATER",19,7.9,200,1,0.1,2,30,2015,80,100,60,100,100,80,13.6,17,13,5.16,22,17.6,88.36
"1196","RIVER NARMADA NEAR MORTAKKA BRIDGE, BADWAH","MADHYAPRADESH","RIVERWATER",19,7.1,254,0.7,0.2,2,34,2015,80,100,40,100,100,80,13.6,17,13,3.44,22,17.6,86.64
"1197","RIVER NARMADA NEAR PUNASA DAM, PUNASA","MADHYAPRADESH","RIVERWATER",18,7.1,270,0.8,0.3,2,23,2015,80,100,40,100,100,80,13.6,17,13,3.44,22,17.6,86.64
"1198","NARMADA AT PANCHWATIGHAT, BEFORE MIXING WITH BAWANGANGA RIVER, JABALPUR","MADHYAPRADESH","RIVERWATER",23,7.2,214,1.4,0.4,10,23,2015,60,100,60,100,100,80,10.2,17,13,5.16,22,17.6,84.96
"1199","NARMADA AT SARSWATIGHAT, AFTER MIXING WITH BAWANGANGA RIVER, JABALPUR","MADHYAPRADESH","RIVERWATER",25,6,210,1.4,0.4,10,21,2015,60,80,60,100,100,80,10.2,13.6,13,5.16,22,17.6,81.56
"1200","NARMADA AT PANETHA, GUJARAT","GUJARAT","RIVERWATER",24,7.8,126,1.2,0.1,7.8,23,2015,60,100,80,100,100,80,10.2,17,13,6.88,22,17.6,86.68
"1201","CHOTA TAWA BEFORE CONFL. WITH RIVER NARMADA, M.P.","MADHYAPRADESH","RIVERWATER",26,7.3,210,0.9,0.2,2,50,2015,40,100,60,100,100,80,6.8,17,13,5.16,22,17.6,81.56
"1202","GOUR RIVER BHOGA DOOR, JABALPUR","MADHYAPRADESH","RIVERWATER",21,7.1,350,1.4,0.8,2,11,2015,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"1203","RIVER KUNDA AT KHARGONE","MADHYAPRADESH","RIVERWATER",18,7.5,445,1.2,1,2,140,2015,80,100,0,100,100,60,13.6,17,13,0,22,13.2,78.8
"1204","SANKHA U/S ( D/S OF MAIRA DAM)","ORISSA","RIVERWATER",10,6,117,0.3,0.2,110,330,2015,100,80,80,100,100,60,17,13.6,13,6.88,22,13.2,85.68
"1205","MAHANADI AT HIRAKUD","ORISSA","RIVERWATER",22,7.1,162,0.2,0.1,230,630,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1206","MAHANADI AT  SAMBALPUR U/S","ORISSA","RIVERWATER",23,7.1,165,0.3,0.2,790,2200,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1207","MAHANADI AT SAMBALPUR D/S","ORISSA","RIVERWATER",23,7.5,194,1.8,0.3,18134.3000000001,50000,2015,60,100,60,100,100,0,10.2,17,13,5.16,22,0,67.36
"1208","MAHANADI AT SAMBALPUR FD/S AT
HUMA","ORISSA","RIVERWATER",25,7.6,165,0.8,0.4,490,1300,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1209","MAHANADI AT SONEPUR U/S","ORISSA","RIVERWATER",25,7.6,160,0.2,0.1,130,330,2015,60,100,60,100,100,60,10.2,17,13,5.16,22,13.2,80.56
"1210","MAHANADI AT SONEPUR D/S","ORISSA","RIVERWATER",26,7.5,182,0.3,0.5,130,490,2015,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"1211","MAHANADI AT TIKARAPADA","ORISSA","RIVERWATER",25,7.8,169,0.2,0.2,78,230,2015,60,100,60,100,100,60,10.2,17,13,5.16,22,13.2,80.56
"1212","MAHANADI AT NARASINGHPUR","ORISSA","RIVERWATER",20,7.8,184,0.4,0.1,330,490,2015,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96
"1213","MAHANADI AT CUTTACK U/S","ORISSA","RIVERWATER",20,7.1,153,0.5,0.1,20,130,2015,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96
"1214","MAHANADI AT CUTTACK D/S","ORISSA","RIVERWATER",18,7.1,190,1.5,0.7,780,3300,2015,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56
"1215","MAHANADI AT MUNDALI","ORISSA","RIVERWATER",19,7.4,146,0.5,0.1,78,490,2015,80,100,80,100,100,60,13.6,17,13,6.88,22,13.2,85.68
"1216","MAHANADI AT POWER CHANNEL D/S","ORISSA","RIVERWATER",23,7.4,170,0.4,0.2,130,790,2015,60,100,60,100,100,40,10.2,17,13,5.16,22,8.8,76.16
"1217","MAHANADI AT PARADEEP U/S AT
BHUTMUAI","ORISSA","RIVERWATER",19,7.5,192,0.2,0.1,230,460,2015,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96
"1218","MAHANADI AT PARADEEP D/S","ORISSA","RIVERWATER",18,6.7,3617,0.8,0.2,130,230,2015,80,100,0,100,100,60,13.6,17,13,0,22,13.2,78.8
"1219","TEL","ORISSA","RIVERWATER",2,7.8,124,0.6,0.1,78,230,2015,100,100,80,100,100,60,17,17,13,6.88,22,13.2,89.08
"1220","BHEDEN","ORISSA","RIVERWATER",23,7,132,0.4,0.1,170,490,2015,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28
"1221","SERUA AT SANKHATARASA","ORISSA","RIVERWATER",18,7.2,192,1.3,0.4,130,490,2015,80,100,60,100,100,60,13.6,17,13,5.16,22,13.2,83.96
"1222","KUAKHAI FU/S","ORISSA","RIVERWATER",24,7.6,161,0.5,0.1,130,330,2015,60,100,60,100,100,60,10.2,17,13,5.16,22,13.2,80.56
"1223","KUAKHAI FD/S","ORISSA","RIVERWATER",20,7.3,225,1.9,0.3,2200,2200,2015,80,100,60,100,100,40,13.6,17,13,5.16,22,8.8,79.56
"1224","KUAKHAI U/S AT BHUBANESWAR","ORISSA","RIVERWATER",22,7.5,183,0.7,0.3,1300,50000,2015,60,100,60,100,100,0,10.2,17,13,5.16,22,0,67.36
"1225","KUAKHAI D/S AT BHUBANESWAR","ORISSA","RIVERWATER",20,7.3,222,3.5,0.7,1100,50000,2015,80,100,60,80,100,0,13.6,17,10.4,5.16,22,0,68.16
"1226","IB AT SUERGARH","ORISSA","RIVERWATER",25,7.2,114,0.2,0.1,130,330,2015,60,100,80,100,100,60,10.2,17,13,6.88,22,13.2,82.28
