"","LOCATIONS","STATE","WATERTYPE","TEMPERATURE(c)","pH","CONDUCTIVITY(µmhos/cm)","B.O.D(mg/l)","NITRATE","FECALCOLIFORM(MPN/100ml)","TOTALCOLIFORM(MPN/100ml)","YEAR","nTemp","npH","nCon","nBod","nNit","nColi","WTemp","Wph","WBod","WCon","WNit","WColi","WQI"
"29","BOREWELL NEAR TSDF SITE OF SAURASHTRA ENVIRO PROJE","GUJARAT","GROUNDWATER",27,8,1072,2.2,0,12,38,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"30","BOREWELL OF GIDC, ANTALIA WATER SUPPLY, BILLIMORA,","GUJARAT","GROUNDWATER",26,7.8,1941,0.9,0,8,8,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"31","BOREWELL OF KALIAWADI GRID ROAD, NAVSARI","GUJARAT","GROUNDWATER",25,8.1,2604,1,0,8,13,2016,60,100,0,100,100,80,10.2,17,13,0,22,17.6,79.8
"32","SHIMLA D/S OF MSW
DUMPING SIOT","HIMACHALPRADESH","GROUNDWATER",9,6.8,409,2.6,0,3.6,22,2016,100,100,0,100,100,80,17,17,13,0,22,17.6,86.6
"33","KALA AMB INDUSTRIAL AREA","HIMACHALPRADESH","GROUNDWATER",22,7.5,710,0.1,0.5,2,4,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"34","PAONTA SAHIB INDUSTRIAL
AREA","HIMACHALPRADESH","GROUNDWATER",23,7.7,460,0.1,0.6,2,4,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"35","HAND PUMP AT NAHAN","HIMACHALPRADESH","GROUNDWATER",25,7.9,720,0.1,0.7,2,4,2016,60,100,0,100,100,100,10.2,17,13,0,22,22,84.2
"36","HAND PUMP AT KALA AMB","HIMACHALPRADESH","GROUNDWATER",26,7.4,922,0.1,0.6,3.6,6,2016,40,100,0,100,100,80,6.8,17,13,0,22,17.6,76.4
"37","WELL AT ELOOR","KERALA","GROUNDWATER",26.8,6,139,0.7,0.9,11,14,2016,40,80,80,100,100,80,6.8,13.6,13,6.88,22,17.6,79.88
"38","WELL AT CHUNGAPALLY","KERALA","GROUNDWATER",27,6.7,118,1,0,28,52,2016,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88
"39","WELL AT PUNALUR","KERALA","GROUNDWATER",24,4.3,205,0.4,0.5,0,0,2016,60,60,60,100,100,100,10.2,10.2,13,5.16,22,22,82.56
"40","PAPPANAMKODE,THIRUVANANTHAPURAM","KERALA","GROUNDWATER",32,6.6,210,1.1,0,55,110,2016,40,100,60,100,100,60,6.8,17,13,5.16,22,13.2,77.16
"41","NEDUMANGAD,THIRUVANANTHAPURAM","KERALA","GROUNDWATER",32,6.5,140,1,0,22,70,2016,40,100,80,100,100,60,6.8,17,13,6.88,22,13.2,78.88
