"","DataTest","ForecastTest$mean"
"1",71.721036889332,73.9412750431527
"2",70.8586387434555,73.6461019911524
"3",78.5744817518248,74.2162572398013
"4",78.8921020656136,72.6070362323501
"5",72.2249307479224,68.971069725685
"6",71.4940336134454,70.3502096025819
"7",70.9268802698145,73.6005753906226
"8",72.0053301886793,74.0966627482449
"9",71.7623529411765,74.1109364836421
"10",71.7002857142857,73.6562517071391
"11",73.328253968254,73.7637803975808
"12",71.721036889332,73.4325051476816
"13",70.8586387434555,72.5699222707392
"14",78.5744817518248,73.3631586313416
"15",78.8921020656136,73.6282546325482
"16",72.2249307479224,70.505845177675
"17",71.4940336134454,71.1582952012995
"18",70.9268802698145,73.8574437349981
"19",72.0053301886793,73.474257306949
"20",71.7623529411765,73.6212469580666
"21",71.7002857142857,73.1327630238158
"22",73.328253968254,73.3418699338188
"23",71.721036889332,73.3461873250672
"24",70.8586387434555,72.6856638494957
"25",78.5744817518248,72.5986329540082
"26",78.8921020656136,72.5577171168759
"27",72.2249307479224,72.2429112993635
"28",71.4940336134454,73.6517957907158
"29",70.9268802698145,75.146026183943
"30",72.0053301886793,73.9335072654522
"31",71.7623529411765,72.553894459651
"32",71.7002857142857,72.2983014297636
"33",73.328253968254,72.3989251004482
"34",71.721036889332,72.5578376626172
"35",70.8586387434555,72.5084737650555
"36",78.5744817518248,72.8023931994859
"37",78.8921020656136,73.2098715433494
"38",72.2249307479224,72.8616574257643
"39",71.4940336134454,72.8112781819311
"40",70.9268802698145,73.908491386749
"41",72.0053301886793,73.2872477726388
"42",71.7623529411765,72.3375886602972
"43",71.7002857142857,72.8124694667135
"44",73.328253968254,72.8022951322254
"45",71.721036889332,73.000199508972
"46",70.8586387434555,72.8712170253527
"47",78.5744817518248,72.8800909564966
"48",78.8921020656136,73.1131014793077
"49",NA,73.0629921322345
"50",NA,73.1577260596892
"51",NA,73.3105181188706
"52",NA,72.4356704824164
"53",NA,71.8989885208406
"54",NA,72.6530800550674
"55",NA,73.1702267511299
"56",NA,73.2875455205516
"57",NA,73.1988661925258
"58",NA,73.155576817122
"59",NA,73.1758598209667
"60",NA,72.9924493543636
"61",NA,72.8199502890854
"62",NA,72.9559843420024
"63",NA,72.9451852463469
"64",NA,72.6428498874007
"65",NA,73.0401975559008
"66",NA,73.3025552699813
"67",NA,72.9753933284978
"68",NA,72.9542645437507
"69",NA,72.8845854992006
"70",NA,72.9521508218451
"71",NA,72.9437100764221
"72",NA,72.8789834341541
"73",NA,72.9393495324828
"74",NA,72.8668809776569
"75",NA,72.8004479688791
"76",NA,73.2606326489759
"77",NA,73.4152134567963
"78",NA,73.0181641457405
"79",NA,72.85699870392
"80",NA,72.8088024248349
"81",NA,72.8640031674234
"82",NA,72.8686888503596
"83",NA,72.8614055349075
"84",NA,72.9581767529411
"85",NA,73.0226210005878
"86",NA,72.9772485355239
"87",NA,72.9966698053722
"88",NA,73.031957847992
"89",NA,72.8191631217751
"90",NA,72.7880403605901
"91",NA,72.9706746821311
"92",NA,72.9907506980746
"93",NA,73.0100288557322
"94",NA,72.9785785121733
"95",NA,72.9839753529142
"96",NA,72.9919134659585
"97",NA,72.9506088700355
"98",NA,72.9931834586212
"99",NA,73.0188409634877
"100",NA,72.8038945318715
"101",NA,72.7809229101702
"102",NA,72.9665277738489
"103",NA,72.9990739176472
"104",NA,73.0163762548069
"105",NA,72.9872955625259
"106",NA,72.9920779440248
"107",NA,72.9941747901817
"108",NA,72.9488607787921
"109",NA,72.9288944537588
"110",NA,72.9399947715898
"111",NA,72.9256269349955
"112",NA,72.9568423085894
"113",NA,73.0576942402464
"114",NA,73.0310334430621
"115",NA,72.9416639841441
"116",NA,72.92883234057
"117",NA,72.9265246817905
"118",NA,72.9396381769841
"119",NA,72.936748555082
"120",NA,72.9431046115447
"121",NA,72.9660789211354
